Statistical profiling result from bloq.log, (6788 ticks, 12 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  t non-virtual thunk to cppgc::internal::MarkingVerifier::~MarkingVerifier()
      3    0.0%    0.0%  t node::task_queue::RunMicrotasks(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  t node::(anonymous namespace)::ToggleImmediateRef(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  t node::(anonymous namespace)::Parser::on_message_begin()
      3    0.0%    0.0%  t node::(anonymous namespace)::Parser::on_header_field(char const*, unsigned long)
      3    0.0%    0.0%  t _tiny_try_realloc_in_place
      3    0.0%    0.0%  t __pthread_mutex_firstfit_lock_slow
      3    0.0%    0.0%  t __os_nospin_lock_unlock_slow
      3    0.0%    0.0%  t __ZN2v88internal14LookupIteratorC2EPNS0_7IsolateENS0_6HandleINS0_6ObjectEEENS4_INS0_4NameEEEmNS4_INS0_10JSReceiverEEENS1_13ConfigurationE
      3    0.0%    0.0%  t __ZN2v88internal12StringHasher20HashSequentialStringIhEEjPKT_iy
      3    0.0%    0.0%  t __ZN2v88internal11StringShape33DispatchToSpecificTypeWithoutCastIZNS1_22DispatchToSpecificTypeIZNS0_6String3GetEiE19StringGetDispatchertJRiEEET0_S4_DpOT1_E17CastingDispatchertJRS4_S6_EEES7_SA_
      3    0.0%    0.0%  T node::IsConstructCallCallback(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  T node::Environment::RunAndClearNativeImmediates(bool)
      3    0.0%    0.0%  T node::Environment::RunAndClearInterrupts()
      3    0.0%    0.0%  T node::Environment::CheckImmediate(uv_check_s*)
      3    0.0%    0.0%  T __ZN2v87Context5EnterEv
      3    0.0%    0.0%  T __ZN2v87Context4ExitEv
      3    0.0%    0.0%  T __ZN2v811HandleScopeC1EPNS_7IsolateE
      2    0.0%    0.0%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      2    0.0%    0.0%  t non-virtual thunk to node::(anonymous namespace)::Parser::OnStreamAlloc(unsigned long)
      2    0.0%    0.0%  t node::LibuvStreamWrap::ReadStart()::$_0::__invoke(uv_handle_s*, unsigned long, uv_buf_t*)
      2    0.0%    0.0%  t _tiny_free_list_add_ptr
      2    0.0%    0.0%  t _small_malloc_from_free_list
      2    0.0%    0.0%  t _nanov2_malloc
      2    0.0%    0.0%  t __cxxabiv1::__function_type_info::~__function_type_info()
      2    0.0%    0.0%  t __cxxabiv1::__free_with_fallback(void*)
      2    0.0%    0.0%  t ___find_warguments
